iter	Passed	Remaining
848	1102	196
849	1103	194
850	1104	193
851	1105	192
852	1108	191
853	1109	189
854	1109	188
855	1110	186
856	1111	185
857	1112	184
858	1113	182
859	1113	181
860	1114	179
861	1115	178
862	1116	177
863	1116	175
864	1117	174
865	1118	173
866	1119	171
867	1119	170
868	1120	168
869	1121	167
870	1122	166
871	1123	164
872	1124	163
873	1124	162
874	1125	160
875	1126	159
876	1127	158
877	1127	156
878	1128	155
879	1129	154
880	1130	152
881	1130	151
882	1131	149
883	1132	148
884	1133	147
885	1134	145
886	1135	144
887	1136	143
888	1137	141
889	1137	140
890	1138	139
891	1139	137
892	1140	136
893	1141	135
894	1141	133
895	1142	132
896	1143	131
897	1143	129
898	1144	128
899	1145	127
900	1146	125
901	1147	124
902	1148	123
903	1149	122
904	1150	120
905	1151	119
906	1152	118
907	1153	116
908	1153	115
909	1154	114
910	1155	112
911	1156	111
912	1156	110
913	1157	108
914	1158	107
915	1159	106
916	1159	104
917	1160	103
918	1161	102
919	1161	101
920	1162	99
921	1163	98
922	1165	97
923	1165	95
924	1166	94
925	1167	93
926	1168	91
927	1168	90
928	1169	89
929	1170	88
930	1171	86
931	1172	85
932	1172	84
933	1173	82
934	1174	81
935	1175	80
936	1175	79
937	1176	77
938	1177	76
939	1178	75
940	1179	73
941	1180	72
942	1180	71
943	1181	70
944	1182	68
945	1182	67
946	1183	66
947	1184	64
948	1185	63
949	1186	62
950	1186	61
951	1187	59
952	1188	58
953	1188	57
954	1189	56
955	1190	54
956	1190	53
957	1191	52
958	1192	50
959	1193	49
960	1194	48
961	1195	47
962	1196	45
963	1196	44
964	1197	43
965	1198	42
966	1199	40
967	1199	39
968	1200	38
969	1201	37
970	1202	35
971	1202	34
972	1203	33
973	1204	32
974	1205	30
975	1205	29
976	1206	28
977	1207	27
978	1208	25
979	1209	24
980	1210	23
981	1210	22
982	1211	20
983	1212	19
984	1212	18
985	1213	17
986	1214	15
987	1215	14
988	1215	13
989	1216	12
990	1217	11
991	1217	9
992	1218	8
993	1219	7
994	1220	6
995	1221	4
996	1223	3
997	1224	2
998	1225	1
999	1225	0
